,code,detailed_work_activity
8149,49-9098.00,"Inspect mechanical equipment to locate damage, defects, or wear."
8150,49-9098.00,Install machine or equipment replacement parts.
8151,49-9098.00,Test mechanical equipment to ensure proper functioning.
8152,49-9098.00,Connect electrical components or equipment.
8153,49-9098.00,Connect hoses to equipment or piping.
8154,49-9098.00,Observe equipment in operation to detect potential problems.
8155,49-9098.00,Assemble structural components.
8156,49-9098.00,"Clean equipment, parts, or tools to repair or maintain them in good working order."
8157,49-9098.00,Clean work areas.
8158,49-9098.00,Lubricate equipment to allow proper functioning.
8159,49-9098.00,Inspect electrical or electronic systems for defects.
8160,49-9098.00,Repair electrical components.
8161,49-9098.00,Disassemble equipment for maintenance or repair.
8162,49-9098.00,Reassemble equipment after repair.
8163,49-9098.00,"Move materials, equipment, or supplies."
8164,49-9098.00,"Position equipment using hand tools, power tools, or heavy equipment."
8165,49-9098.00,Adjust equipment to ensure optimal performance.
8166,49-9098.00,Maintain work equipment or machinery.
8167,49-9098.00,"Order materials, supplies, or equipment."
8168,49-9098.00,Apply protective coverings to objects or surfaces near work areas.
8169,49-9098.00,Fabricate parts or components.
8170,49-9098.00,Operate welding equipment.
8171,47-3014.00,Clean equipment or facilities.
8172,47-3014.00,Assist skilled construction or extraction personnel.
8173,47-3014.00,Protect structures or surfaces near work areas to avoid damage.
8174,47-3014.00,Smooth surfaces with abrasive materials or tools.
8175,47-3014.00,Assemble temporary equipment or structures.
8176,47-3014.00,Mix substances or compounds needed for work activities.
8177,47-3014.00,Move construction or extraction materials to locations where they are needed.
8178,47-3014.00,Apply material to fill gaps in surfaces.
8179,47-3014.00,Clean surfaces in preparation for work activities.
8180,47-3014.00,"Move products, materials, or equipment between work areas."
8181,47-3014.00,Pour materials into or on designated areas.
8182,47-3015.00,Install plumbing or piping.
8183,47-3015.00,Cut metal components for installation.
8184,47-3015.00,Maintain plumbing structures or fixtures.
8185,47-3015.00,Cut openings in existing structures.
8186,47-3015.00,Drill holes in construction materials.
8187,47-3015.00,Measure materials or objects for installation or assembly.
8188,47-3015.00,Assist skilled construction or extraction personnel.
8189,47-3015.00,Assemble products or production equipment.
8190,47-3015.00,Move construction or extraction materials to locations where they are needed.
8191,47-3015.00,Install building fixtures.
8192,47-3015.00,Order construction or extraction materials or equipment.
8193,47-3015.00,Select construction materials.
8194,47-3015.00,Dig holes or trenches.
8195,47-3015.00,"Remove worn, damaged or outdated materials from work areas."
8196,47-3015.00,Clean equipment or facilities.
8197,51-9198.00,Load materials into production equipment.
8198,51-9198.00,Remove products or workpieces from production equipment.
8199,51-9198.00,Operate industrial equipment.
8200,51-9198.00,Count finished products or workpieces.
8201,51-9198.00,Inspect work to ensure standards are met.
8202,51-9198.00,Weigh finished products.
8203,51-9198.00,"Sort materials or products for processing, storing, shipping, or grading."
8204,51-9198.00,"Adjust equipment controls to regulate flow of water, cleaning solutions, or other liquids."
8205,51-9198.00,"Mark products, workpieces, or equipment with identifying information."
8206,51-9198.00,Mix substances to create chemical solutions.
8207,51-9198.00,Notify others of equipment repair or maintenance needs.
8208,51-9198.00,Watch operating equipment to detect malfunctions.
8209,51-9198.00,Lift materials or workpieces using cranes or other lifting equipment.
8210,51-9198.00,Package products for storage or shipment.
8211,51-9198.00,Record operational or production data.
8212,51-9198.00,"Move products, materials, or equipment between work areas."
8213,51-9198.00,Signal others to coordinate work activities.
8214,51-9198.00,Clean production equipment.
8215,51-9198.00,Lubricate production equipment.
8216,51-9198.00,Prepare materials for processing.
8217,51-9198.00,Repair production equipment or tools.
8218,51-9198.00,Replace worn equipment components.
8219,51-9198.00,Install mechanical components in production equipment.
8220,51-9198.00,Clean work areas.
8221,51-9198.00,Mount attachments or tools onto production equipment.
8222,51-9198.00,Clean workpieces or finished products.
8223,51-9198.00,Feed materials or products into or through equipment.
8224,51-9198.00,Maneuver workpieces in equipment during production.
8225,51-9198.00,Trim excess material from workpieces.
8226,47-3016.00,Clean surfaces in preparation for work activities.
8227,47-3016.00,Inspect completed work to ensure proper installation.
8228,47-3016.00,Locate equipment or materials in need of repair or replacement.
8229,47-3016.00,Clean work sites.
8230,47-3016.00,Clean equipment or facilities.
8231,47-3016.00,Install roofing materials.
8232,47-3016.00,Maintain construction tools or equipment.
8233,47-3016.00,"Remove worn, damaged or outdated materials from work areas."
8234,47-3016.00,Load or unload materials used in construction or extraction.
8235,47-3016.00,Assemble temporary equipment or structures.
8236,47-3016.00,Apply sealants or other protective coatings.
8237,47-3016.00,Assist skilled construction or extraction personnel.
8238,47-3016.00,Move construction or extraction materials to locations where they are needed.
8239,47-3016.00,Mix substances or compounds needed for work activities.
8240,47-3016.00,"Spread sand, dirt or other loose materials onto surfaces."
8241,47-4051.00,Direct vehicle traffic.
8242,47-4051.00,Maintain mechanical equipment.
8243,47-4051.00,Drive trucks or truck-mounted equipment.
8244,47-4051.00,Install fencing or other barriers.
8245,47-4051.00,Remove debris or vegetation from work sites.
8246,47-4051.00,Move construction or extraction materials to locations where they are needed.
8247,47-4051.00,Operate equipment or vehicles to clear construction sites or move materials.
8248,47-4051.00,"Spread sand, dirt or other loose materials onto surfaces."
8249,47-4051.00,Clean equipment or facilities.
8250,47-4051.00,Compact materials to create level bases.
8251,47-4051.00,Inspect industrial or commercial equipment to ensure proper operation.
8252,47-4051.00,Maintain plumbing structures or fixtures.
8253,47-4051.00,Pour materials into or on designated areas.
8254,47-4051.00,Spread concrete or other aggregate mixtures.
8255,47-4051.00,Treat greenery or surfaces with protective substances.
8256,47-4051.00,Mark reference points on construction materials.
8257,47-4051.00,Measure work site dimensions.
8258,47-4051.00,Apply paint to surfaces.
8259,47-4051.00,Operate road-surfacing equipment.
8260,47-4051.00,Dismantle equipment or temporary structures.
8261,47-4051.00,Inspect completed work to ensure proper installation.
8262,47-4051.00,Mix substances or compounds needed for work activities.
8263,25-1125.00,Develop instructional materials.
8264,25-1125.00,Guide class discussions.
8265,25-1125.00,Teach humanities courses at the college level.
8266,25-1125.00,Attend training sessions or professional meetings to develop or maintain professional knowledge.
8267,25-1125.00,Stay informed about current developments in field of specialization.
8268,25-1125.00,Research topics in area of expertise.
8269,25-1125.00,"Write articles, books or other original materials in area of expertise."
8270,25-1125.00,Evaluate student work.
8271,25-1125.00,Administer tests to assess educational needs or progress.
8272,25-1125.00,Prepare tests.
8273,25-1125.00,Maintain student records.
8274,25-1125.00,Develop instructional objectives.
8275,25-1125.00,Evaluate effectiveness of educational programs.
8276,25-1125.00,Order instructional or library materials or equipment.
8277,25-1125.00,Select educational materials or equipment.
8278,25-1125.00,Advise students on academic or career matters.
8279,25-1125.00,Evaluate scholarly materials.
8280,25-1125.00,Supervise student research or internship work.
8281,25-1125.00,Direct department activities.
8282,25-1125.00,Serve on institutional or departmental committees.
8283,25-1125.00,Create technology-based learning materials.
8284,25-1125.00,Teach online courses.
8285,25-1125.00,Perform student enrollment or registration activities.
8286,25-1125.00,Promote educational institutions or programs.
8287,25-1125.00,Write grant proposals.
8288,25-1125.00,Compile specialized bibliographies or lists of materials.
8289,25-1125.00,Plan community programs or activities for the general public.
8290,25-1125.00,"Advise educators on curricula, instructional methods, or policies."
8291,29-2011.04,Prepare biological specimens for laboratory analysis.
8292,29-2011.04,Operate laboratory equipment to analyze medical samples.
8293,29-2011.04,Analyze laboratory findings.
8294,29-2011.04,Analyze laboratory specimens to detect abnormalities or other problems.
