,Unnamed: 0,title,company,location,description,date_posted,link
524,524,Postdoctoral Appointee - Numerical Optimization,Argonne,United States,"the design, analysis, and implementation of algorithms for solving optimization problems that arise in a variety scientific domains. Applications include, but are not limited to, problems in quantum",about 16 hours ago,https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Appointee-Numerical-Optimization-Argonne=KxIMAAFm7RGUYQAlkGUTnw.html
525,525,PhD in Nanophysics,Universität Münster,Germany,to predict and optimize the photophysical properties of novel luminescent organometallic compounds by means of quantum-chemical electronic structure calculations and ab initio molecular dynamics simulations,"Lemont, Illinois",https://scholarshipdb.net/scholarships-in-Germany/Ph-D-In-Nanophysics-Universit-t-M-nster=mClZ1wFZ7RGUYQAlkGUTnw.html
526,526,Ground Segment & Service Engineer,European Space Agency,Netherlands,"technologies and applications. You will be responsible for monitoring the development of the quantum optical ground segment concept and the resulting overall ground segment design and architecture, with",about 16 hours ago,https://scholarshipdb.net/jobs-in-Netherlands/Ground-Segment-Service-Engineer-European-Space-Agency=we2dd59e7RGUYQAlkGUTnw.html
527,527,PhD position at CMM for a computational scientist,Ghent University,Belgium,"in atomistic molecular simulations, quantum mechanics, statistical physics and thermodynamics applied to material science.The candidate should have or will soon obtain a master’s degree of a university",about 2 hours ago,https://scholarshipdb.net/scholarships-in-Belgium/Ph-D-Position-At-Cmm-For-A-Computational-Scientist-Ghent-University=PvDGT5Hx0CHxSam0RcCJXw.html
528,528,Doctoral Positions in Physics and Astronomy,The University of British Columbia (UBC),Canada,Condensed Matter Cosmology General Relativity Gravitational Waves High Energy/Particle Physics Medical Physics Nuclear physics Physics Education Quantum information String Theory Cosmology Extragalactic,about 3 hours ago,https://scholarshipdb.net/jobs-in-Canada/Doctoral-Positions-In-Physics-And-Astronomy-The-University-Of-British-Columbia-Ubc=ULd77kVf7RGUYQAlkGUTnw.html
529,529,Postdoctoral Appointee - Nuclear Physics,Argonne,United States,", Bayesian inference, high performance computing, artificial intelligence/machine learning, and quantum information science. About Argonne and the Physics Division: Argonne is a multidisciplinary science and",about 19 hours ago,https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Appointee-Nuclear-Physics-Argonne=nTSfQThl7RGUYQAlkGUTnw.html
530,530,Postdoctoral Research Assistant in Laboratory Searches for Fundamental Physics,University of Oxford,United Kingdom,"via quantum field fluctuations. While accelerator based searches at high energies have not yet found evidence of new physics, ultra-high intensity optical lasers and 4th generation light sources offer a","Vancouver Waterfront Coal Harbour Canada Place, British Columbia",https://scholarshipdb.net/jobs-in-United-Kingdom/Postdoctoral-Research-Assistant-In-Laboratory-Searches-For-Fundamental-Physics-University-Of-Oxford=twHD3yZT7RGUYQAlkGUTnw.html
531,531,Post-Doctoral Researcher for epitaxial CdTe Photovoltaics,National Renewable Energy Laboratory NREL,United States,"characterization such as high-resolution x-ray diffraction and Hall measurement.  Additional experience with characterization methods such as device testing under solar simulation, quantum efficiency, capacitance",5 days ago,https://scholarshipdb.net/jobs-in-United-States/Post-Doctoral-Researcher-For-Epitaxial-Cd-Te-Photovoltaics-National-Renewable-Energy-Laboratory-Nrel=CNaS_R1l7RGUYQAlkGUTnw.html
532,532,Senior Research Associate (x2) in superconducting qubits with moveable junctions - 0460-22RR,Lancaster University,United Kingdom,", and ultimately to studying mesoscopic quantum superpositions of millions of nucleons. Our approach is to make superconducting circuits whose Josephson junctions are themselves moving. We will use","Lemont, Illinois",https://scholarshipdb.net/jobs-in-United-Kingdom/Senior-Research-Associate-X2-In-Superconducting-Qubits-With-Moveable-Junctions-0460-22-Rr-Lancaster-University=IofFgz9P7RGUYQAlkGUTnw.html
540,540,Postdoctoral Appointee - Optical Spectroscopy of Atomic Defects in Heterostructures for Ultra-Dense Digital Memory (Term),Argonne,United States,in the Zhong group are found in https://sites.google.com/view/zhonglab-quantum/research Job Family Postdoctoral Family Job Profile Postdoctoral Appointee Worker Type Long-Term (Fixed Term) Time Type,"Lemont, Illinois",https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Appointee-Optical-Spectroscopy-Of-Atomic-Defects-In-Heterostructures-For-Ultra-Dense-Digital-Memory-Term-Argonne=sqWOCzZl7RGUYQAlkGUTnw.html
541,541,2 positions (2 years each) in mixed-signal PCB design and GPU programming for novel ultrasound-... (# of pos: 2),Erasmus Medical Center,Netherlands,department) and the Delft University of Technology (Quantum & Computer Engineering department). They capitalize on the Convergence between the two universities and offer dual working locations (Rotterdam,about 16 hours ago,https://scholarshipdb.net/jobs-in-Netherlands/2-Positions-2-Years-Each-In-Mixed-Signal-Pcb-Design-And-Gpu-Programming-For-Novel-Ultrasound-Of-Pos-2-Erasmus-Medical-Center=YTjgZF9i7RGUYQAlkGUTnw.html
542,542,Scientist for Ultrafast Spectroscopy (f/m/d),European XFEL,Germany,"of experimental techniques. For the SQS (Small Quantum Systems) scientific instrument, which is dedicated to investigations of non-linear phenomena and ultrafast dynamics in the gas phase, we",5 days ago,https://scholarshipdb.net/jobs-in-Germany/Scientist-For-Ultrafast-Spectroscopy-F-M-D-European-Xfel=gAPOAfVg7RGUYQAlkGUTnw.html
543,543,Postdocs (2) in Synergies between Tomography and Fusion Plasma,Technical University of Denmark,Denmark,"application potentials. We cover areas such as surface physics, materials science, computer-based material calculations, fluid dynamics, biophysics, plasma physics and quantum physics, and we encourage","Schenefeld, Schleswig Holstein",https://scholarshipdb.net/jobs-in-Denmark/Postdocs-2-In-Synergies-Between-Tomography-And-Fusion-Plasma-Technical-University-Of-Denmark=xlWDjDtk7RGUYQAlkGUTnw.html
544,544,PhD in photonic integrated devices for polarization control in silicon nitride (M/F),CNRS,France,". The main intended applications of the research group are optical telecommunications/interconnects, microwave-photonics, biochemical and gas sensing, spectroscopy, quantum photonics, and datacom",5 days ago,https://scholarshipdb.net/scholarships-in-France/Ph-D-In-Photonic-Integrated-Devices-For-Polarization-Control-In-Silicon-Nitride-M-F-Cnrs=Iz6lffxg7RGUYQAlkGUTnw.html
545,545,PhD in silicon photonics (M/F),CNRS,France,". The main intended applications of the research group are optical telecommunications/interconnects, microwave-photonics, biochemical and gas sensing, spectroscopy, quantum photonics, and datacom",2 days ago,https://scholarshipdb.net/scholarships-in-France/Ph-D-In-Silicon-Photonics-M-F-Cnrs=xdvPafxg7RGUYQAlkGUTnw.html
546,546,Integrated Graduate College of the SFB/Transregio 185 (Bonn-Kaiserslautern): Open System Control of Atomic and Photonic Matter (OSCAR) Open System Control of Atomic and Photonic Matter (OSCAR),Technische Universität Kaiserslautern •,Germany,"lectures, which are offered by the Physics Department of TU Kaiserslautern within the Master of Science in Advanced Quantum Physics programme: https://www.physik.uni-kl.de/quantum-master/ The detailed","Tremblay en France, le de France",https://scholarshipdb.net/scholarships-in-Germany/Integrated-Graduate-College-Of-The-Sfb-Transregio-185-Bonn-Kaiserslautern-Open-System-Control-Of-Atomic-And-Photonic-Matter-Oscar-Open-System-Control-Of-Atomic-And-Photonic-Matter-Oscar-Technische-Universit-t-Kaiserslautern=N3-Rm6pj7RGUYQAlkGUTnw.html
547,547,Doctoral Candidate (PhD student) in Waveform Design for 6G Integrated Terrestrial/Non-Terrestrial Networks,University of Luxembourg,Luxembourg,"new services in a cost-efficient manner. Use cases of interest include IoT verticals, unmanned aerial vehicles, integrated satellite-space-terrestrial networks, quantum communications and key",7 days ago,https://scholarshipdb.net/scholarships-in-Luxembourg/Doctoral-Candidate-Ph-D-Student-In-Waveform-Design-For-6-G-Integrated-Terrestrial-Non-Terrestrial-Networks-University-Of-Luxembourg=wVJhEC5f7RGUYQAlkGUTnw.html
548,548,Postdoc in Distributed Multi-Antenna Signal Processing and Flexible Radio Resource Management for 6G Integrated Terrestrial/Non-Terrestrial Networks,University of Luxembourg,Luxembourg,"of supporting new services in a cost-efficient manner. Use cases of interest include IoT verticals, unmanned aerial vehicles, integrated satellite-space-terrestrial networks, quantum communications and key","Tremblay en France, le de France",https://scholarshipdb.net/jobs-in-Luxembourg/Postdoc-In-Distributed-Multi-Antenna-Signal-Processing-And-Flexible-Radio-Resource-Management-For-6-G-Integrated-Terrestrial-Non-Terrestrial-Networks-University-Of-Luxembourg=WOjyYixf7RGUYQAlkGUTnw.html
549,549,German-French Graduate College Statistical Physics of Complex Systems in Equilibrium and Non-Equilibrium Statistical Physics of Complex Systems,Leipzig University •,Germany,programme No Joint degree / double degree programme Yes Description/content The statistical physics of complex systems is a very broad field ranging from the study of quantum phenomena to the conformational,6 days ago,https://scholarshipdb.net/scholarships-in-Germany/German-French-Graduate-College-Statistical-Physics-Of-Complex-Systems-In-Equilibrium-And-Non-Equilibrium-Statistical-Physics-Of-Complex-Systems-Leipzig-University=UmN-fdhi7RGUYQAlkGUTnw.html
556,556,Two doctoral students in scanning transmission electron microscopy (a),Empa,Switzerland,"for nanoparticles production in ionic liquids, e.g. to effi-ciently produce quantum dots. To study particle formation processes in situ and at the atomic scale, you will perform liquid phase scanning transmission",about 17 hours ago,https://scholarshipdb.net/jobs-in-Switzerland/Two-Doctoral-Students-In-Scanning-Transmission-Electron-Microscopy-A-Empa=kMhKFVBV7RGUYQAlkGUTnw.html
557,557,Distinguished PKS Postdoctroal Fellow,Max Planck Institute for the Physics of Complex Systems,Germany,"and conduct independent studies e.g. in the following theoretical research fields: Ultracold gases and Rydberg physics, attosecond and ultrafast X-ray physics, quantum optics, condensed matter theory","Dresden, Sachsen",https://scholarshipdb.net/jobs-in-Germany/Distinguished-Pks-Postdoctroal-Fellow-Max-Planck-Institute-For-The-Physics-Of-Complex-Systems=LLcCf9NP7RGUYQAlkGUTnw.html
558,558,Postdoctoral Research Associate or more senior/Program on Science and Global Security,Princeton University,United States,"technologies such as artificial intelligence, autonomous systems, quantum technologies, platforms and sensors with continuous global coverage, and hypersonic, high-precision, maneuverable weapons. A recent PhD",28 days ago,https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Research-Associate-Or-More-Senior-Program-On-Science-And-Global-Security-Princeton-University=T-NslVpe7RGUYQAlkGUTnw.html
559,559,"Research Fellow, Mechanobiology Institute",NATIONAL UNIVERSITY OF SINGAPORE,United Kingdom,"” tissues and different dietary regimes. To this task, we are developing a methodology based on two original elements: we make use of a quantum IR microscope of our own design instead of a standard FTIR IR","Princeton, New Jersey",https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Fellow-Mechanobiology-Institute-National-University-Of-Singapore=0CbPkRRX7RGUYQAlkGUTnw.html
560,560,SB – PhD postition in low-temperature scanning probe microscopy (W/M),EPFL,Switzerland,Your Mission Atomically precise low-dimensional nanostructures serve as ideal model systems to understand electronic quantum transport at reduced dimensions and ultimately create and control quantum,about 9 hours ago,https://scholarshipdb.net/scholarships-in-Switzerland/Sb-Ph-D-Postition-In-Low-Temperature-Scanning-Probe-Microscopy-W-M-Epfl=RONYn4VV7RGUYQAlkGUTnw.html
561,561,Research Assistant,RMIT University,Australia,"at other campuses of the University About the Role As the Research Assistant, you will be based at RMIT University, working on a Defence Next Generation Technology Fund (NGTF) Precision Quantum Sensing (PQS",19 days ago,https://scholarshipdb.net/jobs-in-Australia/Research-Assistant-Rmit-University=nc_NBw9c7RGUYQAlkGUTnw.html
562,562,Postdoctoral research fellowship,University of Sheffield,United Kingdom,", semiconductors, nanoscience, strong light-matter interaction, optical microcavities, nano-antennas, van der Waals materials, van der Waals heterostructures, moiré physics, single photon emitters, quantum materials",about 17 hours ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Postdoctoral-Research-Fellowship-University-Of-Sheffield=OxFoWaVf7RGUYQAlkGUTnw.html
563,563,Masters Positions in Physics and Astronomy,The University of British Columbia (UBC),Canada,"Atomic, Molecular, and Optical Biophysics Condensed Matter Cosmology General Relativity Gravitational Waves High Energy/Particle Physics Medical Physics Nuclear physics Physics Education Quantum","Melbourne, Victoria",https://scholarshipdb.net/jobs-in-Canada/Masters-Positions-In-Physics-And-Astronomy-The-University-Of-British-Columbia-Ubc=boqeletb7RGUYQAlkGUTnw.html
